Temp,Humidity,Presure
30.7,67.56,1009.71
30.69,67.7,1009.72
30.66,67.88,1009.71
30.64,67.78,1009.71
30.65,68.59,1009.7
30.66,69.28,1009.68
30.63,68.25,1009.69
30.63,68.38,1009.69
30.61,68.45,1009.69
30.6,68.54,1009.68
30.59,68.6,1009.67
30.58,68.83,1009.65
30.56,68.61,1009.65
30.57,68.49,1009.65
30.58,68.39,1009.66
30.57,68.36,1009.65
30.57,68.01,1009.66
30.55,68.31,1009.63
30.54,68.61,1009.67
30.54,68.58,1009.67
30.54,69.44,1009.63
30.55,68.8,1009.63
30.58,67.87,1009.63
30.62,67.41,1009.64
30.64,67.52,1009.65
30.66,67.36,1009.65
30.68,67.28,1009.65
30.71,67.58,1009.66
30.73,67.39,1009.69
30.72,67.28,1009.66
30.74,67.11,1009.65
30.76,67.06,1009.69
30.76,66.98,1009.68
30.78,67.06,1009.66
30.75,67.68,1009.66
30.74,67.29,1009.65
30.72,67.43,1009.66
30.71,67.71,1009.62
30.72,67.77,1009.65
30.72,67.89,1009.66
30.72,68.29,1009.68
30.71,68.28,1009.69
30.69,68.33,1009.69
30.68,68.25,1009.65
30.67,68.2,1009.65
30.67,68.05,1009.64
30.67,67.83,1009.65
30.7,68.18,1009.68
30.72,67.75,1009.65
30.75,67.69,1009.67
30.79,67.6,1009.68
30.83,67.48,1009.69
30.91,66.33,1009.7
30.94,66.66,1009.66
30.99,66.63,1009.68
31.05,66.07,1009.68
31.09,65.79,1009.64
31.12,65.89,1009.66
31.14,66.04,1009.62
31.16,65.93,1009.62
31.21,65.68,1009.63
31.22,65.41,1009.64
31.22,65.13,1009.65
31.2,65.09,1009.65
31.19,65.1,1009.64
31.18,65.09,1009.61
31.19,65.1,1009.67
31.18,65.13,1009.66
31.19,65.14,1009.65
31.2,65.45,1009.64
31.17,66.12,1009.64
31.11,66.28,1009.65
31.07,66.38,1009.71
31.05,66.37,1009.73
31.03,66.38,1009.72
31.01,66.53,1009.71
30.98,66.55,1009.68
30.98,66.46,1009.7
30.98,66.45,1009.69
30.98,66.39,1009.71
30.94,66.92,1009.76
30.93,67.07,1009.72
30.93,66.94,1009.73
