32.78,58.78,1012.54
32.79,58.79,1012.57
32.79,59.08,1012.57
32.77,58.95,1012.60
32.76,58.13,1012.56
32.75,57.76,1012.57
32.74,57.80,1012.52
32.73,58.01,1012.57
32.74,57.85,1012.55
32.76,57.82,1012.55
32.77,57.79,1012.56
32.78,57.77,1012.57
32.77,58.06,1012.54
32.77,58.20,1012.54
32.74,58.31,1012.56
32.75,58.37,1012.55
32.71,58.61,1012.57
32.72,58.45,1012.57
32.73,57.13,1012.53
32.75,56.69,1012.52
32.76,56.45,1012.56
32.77,56.40,1012.53
32.78,56.46,1012.54
32.78,56.74,1012.52
32.78,57.03,1012.53
32.79,57.19,1012.55
32.79,57.43,1012.51
32.81,57.54,1012.53
32.82,57.54,1012.52
32.84,56.91,1012.52
32.83,56.53,1012.53
32.88,56.55,1012.52
32.88,56.54,1012.52
32.89,56.24,1012.52
32.88,56.25,1012.52
32.89,56.32,1012.51
32.90,56.33,1012.50
32.92,56.38,1012.49
32.93,56.43,1012.51
32.94,56.54,1012.46
32.96,56.57,1012.46
32.98,56.70,1012.43
32.97,56.83,1012.45
32.96,56.87,1012.49
32.95,56.87,1012.49
32.95,57.00,1012.48
32.95,57.11,1012.49
32.94,57.13,1012.45
32.95,57.25,1012.48
32.94,57.38,1012.48
32.91,57.38,1012.48
32.88,57.23,1012.48
32.85,57.39,1012.49
32.84,57.59,1012.49
32.81,57.65,1012.48
32.83,57.65,1012.50
32.85,57.61,1012.49
32.87,57.55,1012.51
32.88,57.55,1012.51
32.87,57.55,1012.48
32.84,57.66,1012.52
32.83,57.68,1012.49
32.82,57.72,1012.51
32.82,57.77,1012.49
32.83,57.83,1012.48
32.84,57.77,1012.49
32.84,57.65,1012.48
32.84,57.56,1012.49
32.81,57.68,1012.49
32.81,57.73,1012.50
32.79,57.94,1012.48
32.80,58.07,1012.46
32.81,58.11,1012.46
32.83,58.04,1012.47
32.83,57.90,1012.46
32.84,57.88,1012.50
32.84,57.71,1012.46
32.70,58.22,1012.48
32.70,58.31,1012.50
32.71,58.39,1012.50
32.74,57.82,1012.51
32.76,57.42,1012.52
32.78,57.08,1012.52
32.79,56.87,1012.53
32.81,56.97,1012.54
32.81,57.27,1012.52
32.81,57.22,1012.54
32.82,56.82,1012.50
32.82,56.95,1012.48
32.81,57.20,1012.47
32.79,57.31,1012.51
32.80,57.45,1012.52
32.78,57.47,1012.47
32.76,57.87,1012.46
32.75,57.67,1012.46
32.76,58.00,1012.48
32.77,57.68,1012.49
32.78,57.44,1012.51
32.79,57.34,1012.51
32.79,57.36,1012.49
32.76,57.37,1012.48
32.73,57.52,1012.49
32.68,57.66,1012.48
32.70,57.61,1012.50
32.73,57.59,1012.49
32.75,57.57,1012.47
32.77,57.53,1012.48
32.77,57.57,1012.50
32.77,57.65,1012.47
32.75,57.69,1012.45
32.74,57.50,1012.48
32.73,57.46,1012.48
32.73,57.38,1012.47
32.74,57.34,1012.47
32.75,57.37,1012.45
32.76,57.44,1012.50
32.77,57.53,1012.45
32.77,57.74,1012.48
32.75,58.12,1012.46
32.73,58.05,1012.48
32.75,57.97,1012.46
32.75,57.83,1012.42
32.73,57.58,1012.43
32.70,57.31,1012.41
32.70,57.64,1012.42
32.71,57.45,1012.42
32.73,57.27,1012.40
32.76,57.18,1012.42
32.76,57.36,1012.45
32.77,57.32,1012.44
32.78,57.26,1012.42
32.78,57.16,1012.43
32.77,57.18,1012.40
32.79,57.17,1012.38
32.80,57.17,1012.40
32.80,57.22,1012.40
32.80,57.36,1012.41
32.80,57.52,1012.42
32.80,57.67,1012.44
32.78,58.01,1012.38
32.78,57.80,1012.41
32.77,57.71,1012.41
32.77,57.49,1012.44
32.77,57.23,1012.39
32.77,57.01,1012.43
32.76,56.81,1012.43
32.76,56.81,1012.41
32.74,57.15,1012.41
32.68,57.50,1012.42
32.67,57.74,1012.39
32.63,57.52,1012.38
32.63,57.35,1012.40
32.65,57.49,1012.38
32.65,57.68,1012.39
32.66,57.70,1012.39
32.66,57.91,1012.38
32.66,57.97,1012.38
32.66,57.73,1012.36
32.66,57.55,1012.37
32.66,57.20,1012.38
32.68,56.94,1012.39
32.67,57.23,1012.40
32.66,57.37,1012.36
32.64,57.86,1012.39
32.62,58.19,1012.38
32.57,58.19,1012.41
32.57,57.91,1012.37
32.60,57.72,1012.38
32.61,57.47,1012.38
32.62,57.49,1012.39
32.62,57.79,1012.38
32.62,57.82,1012.39
32.62,58.08,1012.42
32.62,58.32,1012.40
32.64,58.24,1012.41
32.60,58.77,1012.43
32.56,58.58,1012.41
32.55,58.46,1012.38
32.50,58.02,1012.39
32.56,57.42,1012.40
32.61,57.29,1012.37
32.64,57.46,1012.39
32.68,57.50,1012.40
32.70,57.51,1012.44
32.70,57.45,1012.41
32.68,57.39,1012.38
32.68,57.38,1012.39
32.70,57.38,1012.38
32.69,57.38,1012.37
32.70,57.39,1012.40
32.72,57.42,1012.40
32.69,57.48,1012.38
32.65,57.46,1012.36
32.67,57.30,1012.37
32.72,56.92,1012.36
32.78,56.58,1012.37
32.80,56.57,1012.42
32.82,56.63,1012.38
32.82,56.68,1012.37
32.81,56.85,1012.37
32.83,56.76,1012.35
32.84,56.75,1012.37
32.86,56.74,1012.36
32.88,56.70,1012.40
32.86,56.78,1012.41
32.87,56.81,1012.35
32.86,56.89,1012.37
32.85,57.12,1012.38
32.86,56.92,1012.37
32.85,56.93,1012.37
32.85,57.06,1012.35
32.84,57.07,1012.39
32.82,57.25,1012.36
32.80,57.21,1012.38
32.82,57.01,1012.37
32.85,57.02,1012.40
32.86,56.91,1012.37
32.85,56.83,1012.39
32.87,56.69,1012.39
32.90,56.59,1012.36
32.93,56.67,1012.33
32.94,56.75,1012.34
32.96,56.76,1012.34
32.97,56.92,1012.35
32.98,57.01,1012.35
32.99,56.99,1012.31
32.97,57.04,1012.38
32.95,56.93,1012.37
32.97,56.94,1012.36
32.97,57.17,1012.36
32.98,57.19,1012.36
32.94,57.32,1012.34
32.91,57.22,1012.34
32.88,57.17,1012.39
32.90,56.39,1012.39
